alias	team_id	team_name	occurrences	distinct_posts	purity	confidence	rejected	sample_post_id	sample_raw_line
springfield	43	Downingtown East	8	1	0.500	0.50	already aliased	monday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Jared Kennedy 5g 1a [unresolved sub-header: "Springfield"]
springfield	41	WC Henderson	8	1	0.500	0.50	already aliased	monday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Jared Kennedy 5g 1a [unresolved sub-header: "Springfield"]
strath haven	188	West Chester East	8	1	1.000	0.50	matches existing team name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Kellen Korb 7g 1a [unresolved sub-header: "Strath Haven"]
strath haven	98	Quakertown	8	1	1.000	0.50	matches existing team name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Kellen Korb 7g 1a [unresolved sub-header: "Strath Haven"]
logan bruette gwg	79	Penncrest	7	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	player stat dropped — uncertain team: Zach Poole 1g 0a [unresolved sub-header: "Logan Bruette GWG"]
logan bruette gwg	33	Conestoga	7	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	player stat dropped — uncertain team: Zach Poole 1g 0a [unresolved sub-header: "Logan Bruette GWG"]
nw lehigh	21	Parkland	6	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="NW Lehigh" did not match Parkland | Northwestern Lehigh
nw lehigh	103	Northwestern Lehigh	6	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="NW Lehigh" did not match Parkland | Northwestern Lehigh
springfield	42	Great Valley	6	1	0.500	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Jared Kennedy 2g 0a [unresolved sub-header: "Springfield"]
springfield	44	Sun Valley	6	1	0.500	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Jared Kennedy 2g 0a [unresolved sub-header: "Springfield"]
john donovan	38	Strath Haven	6	1	0.500	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Liam Taylor 3g 4a [unresolved sub-header: "John Donovan"]
becahi	21	Parkland	6	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="Becahi" did not match Parkland | Bethlehem Catholic
becahi	93	Bethlehem Catholic	6	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="Becahi" did not match Parkland | Bethlehem Catholic
scoring for lehman	24	Crestwood	6	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-6	player stat dropped — uncertain team: Anthony Magnotta 0g 1a [unresolved sub-header: "Scoring for Lehman"]
scoring for lehman	239	Lake-Lehman	6	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-6	player stat dropped — uncertain team: Anthony Magnotta 0g 1a [unresolved sub-header: "Scoring for Lehman"]
bucs	118	Interboro	5	1	1.000	0.50	ambiguous between candidate teams	friday-boys-summaries-sponsored-by-fusion-lacrosse-5	player stat dropped — uncertain team: Jimmy Toland 5g 0a [unresolved sub-header: "Bucs"]
bucs	78	Oxford	5	1	1.000	0.50	ambiguous between candidate teams	friday-boys-summaries-sponsored-by-fusion-lacrosse-5	player stat dropped — uncertain team: Jimmy Toland 5g 0a [unresolved sub-header: "Bucs"]
john donovan	80	Harriton	5	1	0.500	0.50	matches existing player name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Liam Taylor 3g 1a [unresolved sub-header: "John Donovan"]
dcc	165	Delco Christian	5	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-7	player stat dropped — uncertain team: Liam Amann 2g 0a [unresolved sub-header: "DCC"]
dcc	509	Barrack Hebrew	5	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-7	player stat dropped — uncertain team: Liam Amann 2g 0a [unresolved sub-header: "DCC"]
st. joe's prep	58	La Salle	5	1	1.000	0.50	matches existing team name	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-6	player stat dropped — uncertain team: Dom Flynn 2g 1a [unresolved sub-header: "St. Joe's Prep"]
st. joe's prep	108	St. Joseph's Prep	5	1	1.000	0.50	matches existing team name	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-6	player stat dropped — uncertain team: Dom Flynn 2g 1a [unresolved sub-header: "St. Joe's Prep"]
parland	93	Bethlehem Catholic	3	1	0.500	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Fehnel 0g 0a [unresolved sub-header: "Parland"]
kai silverman	63	Pennridge	2	1	1.000	0.50	matches existing player name	saturday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Kai Silverman" did not match Pennridge | Plymouth Whitemarsh
kai silverman	61	Plymouth Whitemarsh	2	1	1.000	0.50	matches existing player name	saturday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Kai Silverman" did not match Pennridge | Plymouth Whitemarsh
parland	91	Liberty	2	1	0.500	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-7	player stat dropped — uncertain team: Fehnel 0g 0a [unresolved sub-header: "Parland"]
luke flannery	159	Pennington (NJ)	1	1	0.333	0.50	matches existing player name	friday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Luke Flannery" did not match Pennsbury | Pennington
luke flannery	487	Notre Dame	1	1	0.333	0.50	matches existing player name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Luke Flannery" did not match Notre Dame | Pennsbury
luke flannery	256	Washington Township (NJ)	1	1	0.333	0.50	matches existing player name	saturday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Luke Flannery" did not match Washington Township | Pennsbury
dccs	53	Jack Barrack	1	1	0.500	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-6	quarter line teamHint="DCCS" did not match Jack Barrack Academy | Delco Christian
dccs	82	Upper Merion	1	1	0.500	0.50	below confidence floor	friday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="DCCS" did not match Upper Merion | Delco Christian
nhs	68	Central Bucks West	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="NHS" did not match Central Bucks West | Neshaminy
nhs	9	Neshaminy	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="NHS" did not match Central Bucks West | Neshaminy
pc	79	Penncrest	1	1	1.000	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="PC" did not match Penncrest | Marple Newtown
pc	35	Marple Newtown	1	1	1.000	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="PC" did not match Penncrest | Marple Newtown
springfield township	10	New Hope-Solebury	1	1	1.000	0.50	matches existing team name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Springfield Township" did not match New Hope Solebury | Springfield-Montco
springfield township	496	Springfield-Montco	1	1	1.000	0.50	matches existing team name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Springfield Township" did not match New Hope Solebury | Springfield-Montco
khs	77	Avon Grove	1	1	0.200	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="KHS" did not match Avon Grove | Kennett
khs	78	Oxford	1	1	0.200	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="KHS" did not match Kennett | Oxford
khs	44	Sun Valley	1	1	0.200	0.50	below confidence floor	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="KHS" did not match Kennett | Sun Valley
khs	36	Haverford High	1	1	0.200	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="KHS" did not match Haverford High | Kennett
khs	14	Owen J. Roberts	1	1	0.200	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="KHS" did not match Kennett | Owen J. Roberts
dt east	45	WC Rustin	1	1	0.500	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="DT East" did not match WC Rustin | Downingtown East
tommy lavin	42	Great Valley	1	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Tommy Lavin" did not match Great Valley | Unionville
tommy lavin	178	Unionville	1	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Tommy Lavin" did not match Great Valley | Unionville
rd	40	Radnor	1	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="RD" did not match Radnor | Marple Newtown
rd	35	Marple Newtown	1	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="RD" did not match Radnor | Marple Newtown
rd	19	Ridley	1	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="RD" did not match Ridley | Perkiomen Valley
rd	13	Perkiomen Valley	1	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="RD" did not match Ridley | Perkiomen Valley
wch	51	Kennett	1	1	0.500	0.50	already aliased	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="WCH" did not match Henderson | Kennett
wch	199	Hampton Township	1	1	0.500	0.50	already aliased	saturday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="WCH" did not match Henderson | Hampton Township
umor	9	Neshaminy	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="UMor" did not match Neshaminy | Upper Moreland
umor	71	Upper Moreland	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="UMor" did not match Neshaminy | Upper Moreland
st	13	Perkiomen Valley	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="ST" did not match Perkiomen Valley | Souderton
st	17	Souderton	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="ST" did not match Perkiomen Valley | Souderton
cr south	69	Central Bucks East	1	1	0.333	0.50	below confidence floor	monday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="CR South" did not match Council Rock South | Central Bucks East
cr south	64	Pennsbury	1	1	0.333	0.50	below confidence floor	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="CR South" did not match Council Rock South | Pennsbury
htw	495	Henderson	1	1	1.000	0.50	ambiguous between candidate teams	saturday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="HTW" did not match Henderson | Hampton Township
htw	199	Hampton Township	1	1	1.000	0.50	ambiguous between candidate teams	saturday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="HTW" did not match Henderson | Hampton Township
pr	154	Perk Valley	1	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="PR" did not match Perk Valley | Pennridge
wissahckon	76	Wissahickon	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="Wissahckon" did not match Wissahickon | New Hope Solebury
wissahckon	10	New Hope-Solebury	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="Wissahckon" did not match Wissahickon | New Hope Solebury
nhope-solebury	76	Wissahickon	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="NHope-Solebury" did not match Wissahickon | New Hope Solebury
nhope-solebury	10	New Hope-Solebury	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="NHope-Solebury" did not match Wissahickon | New Hope Solebury
sahs	17	Souderton	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="SAHS" did not match Souderton | Central Bucks West
sahs	68	Central Bucks West	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="SAHS" did not match Souderton | Central Bucks West
pjp ii	2	Boyertown	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="PJP II" did not match Boyertown | Pope John Paul II
pjp ii	18	Pope John Paul II	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="PJP II" did not match Boyertown | Pope John Paul II
garnrt valley	39	Garnet Valley	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="Garnrt Valley" did not match Garnet Valley | Lower Merion
garnrt valley	34	Lower Merion	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="Garnrt Valley" did not match Garnet Valley | Lower Merion
sj	35	Marple Newtown	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="SJ" did not match Marple Newtown | St Joseph Metuchen
sj	229	St Joseph Metuchen (NJ)	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="SJ" did not match Marple Newtown | St Joseph Metuchen
pbrug	7	Easton	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Pbrug" did not match Easton | Phillipsburg
pbrug	232	Phillipsburg	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Pbrug" did not match Easton | Phillipsburg
pg	13	Perkiomen Valley	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="PG" did not match Perkiomen Valley | Pottsgrove
pg	81	Pottsgrove	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="PG" did not match Perkiomen Valley | Pottsgrove
ohara	108	St. Joseph's Prep	1	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Ohara" did not match St. Joseph's Prep | Cardinal O'Hara
ohara	65	Cardinal O'Hara	1	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Ohara" did not match St. Joseph's Prep | Cardinal O'Hara
joe's	108	St. Joseph's Prep	1	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Joe's" did not match St. Joseph's Prep | Cardinal O'Hara
joe's	65	Cardinal O'Hara	1	1	1.000	0.50	ambiguous between candidate teams	wednesday-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="Joe's" did not match St. Joseph's Prep | Cardinal O'Hara
aiden lazo	24	Crestwood	1	1	1.000	0.50	ambiguous between candidate teams	friday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Dylan Bellas 0g 0a [unresolved sub-header: "Aiden Lazo"]
aiden lazo	75	Tunkhannock	1	1	1.000	0.50	ambiguous between candidate teams	friday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Dylan Bellas 0g 0a [unresolved sub-header: "Aiden Lazo"]
chs	77	Avon Grove	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="CHS" did not match Avon Grove | Coatesville
chs	50	Coatesville	1	1	1.000	0.50	ambiguous between candidate teams	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-2	quarter line teamHint="CHS" did not match Avon Grove | Coatesville
qt	76	Wissahickon	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="QT" did not match Wissahickon | Quakertown
qt	98	Quakertown	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="QT" did not match Wissahickon | Quakertown
svhs	51	Kennett	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="SVHS" did not match Kennett | Sun Valley
svhs	44	Sun Valley	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="SVHS" did not match Kennett | Sun Valley
bhs	68	Central Bucks West	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="BHS" did not match CB West | Boyertown
bhs	2	Boyertown	1	1	1.000	0.50	ambiguous between candidate teams	monday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="BHS" did not match CB West | Boyertown
ks	35	Marple Newtown	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="KS" did not match Marple Newtown | Kennett
ks	51	Kennett	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="KS" did not match Marple Newtown | Kennett
pb	13	Perkiomen Valley	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="PB" did not match Perkiomen Valley | Pennsbury
pb	64	Pennsbury	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="PB" did not match Perkiomen Valley | Pennsbury
rhs	19	Ridley	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="RHS" did not match Ridley | Central Bucks West
rhs	68	Central Bucks West	1	1	1.000	0.50	ambiguous between candidate teams	saturday-hs-boys-summaries-sponsored-by-fusion-lacrosse-3	quarter line teamHint="RHS" did not match Ridley | Central Bucks West
hg	16	Holy Ghost Prep	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="HG" did not match Holy Ghost Prep | Barrack Academy
hg	53	Jack Barrack	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="HG" did not match Holy Ghost Prep | Barrack Academy
m. mccann	69	Central Bucks East	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: B. Coates 0g 0a [unresolved sub-header: "M. McCann"]
m. mccann	178	Unionville	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: B. Coates 0g 0a [unresolved sub-header: "M. McCann"]
evan adams &	77	Avon Grove	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Sean Boggetta 0g 0a [unresolved sub-header: "Evan Adams &"]
evan adams &	57	North Penn	1	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Sean Boggetta 0g 0a [unresolved sub-header: "Evan Adams &"]
colton gowie	65	Cardinal O'Hara	1	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Colton Gowie" did not match Cardinal O'Hara | Harriton
colton gowie	80	Harriton	1	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Colton Gowie" did not match Cardinal O'Hara | Harriton
trey prozzillo winning goalie	15	Council Rock South	1	1	1.000	0.50	looks like player name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Jake Baniewicz 0g 0a [unresolved sub-header: "Trey Prozzillo winning goalie"]
trey prozzillo winning goalie	63	Pennridge	1	1	1.000	0.50	looks like player name	tuesday-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Jake Baniewicz 0g 0a [unresolved sub-header: "Trey Prozzillo winning goalie"]
phs	77	Avon Grove	1	1	1.000	0.50	ambiguous between candidate teams	saturdays-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="PHS" did not match Avon Grove | Pennsbury
phs	64	Pennsbury	1	1	1.000	0.50	ambiguous between candidate teams	saturdays-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="PHS" did not match Avon Grove | Pennsbury
perkiomen	94	Archbishop Carroll	1	1	1.000	0.50	matches existing team name	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Perkiomen" did not match Archbishop Carroll | Upper Darby
perkiomen	20	Upper Darby	1	1	1.000	0.50	matches existing team name	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Perkiomen" did not match Archbishop Carroll | Upper Darby
john carroll	94	Archbishop Carroll	1	1	1.000	0.50	matches existing team name	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="John Carroll" did not match Archbishop Carroll | Upper Darby
john carroll	20	Upper Darby	1	1	1.000	0.50	matches existing team name	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="John Carroll" did not match Archbishop Carroll | Upper Darby
ac	116	Shipley School	1	1	1.000	0.50	ambiguous between candidate teams	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="AC" did not match Shipley | Lansdale Catholic
ac	186	Lansdale Catholic	1	1	1.000	0.50	ambiguous between candidate teams	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="AC" did not match Shipley | Lansdale Catholic
trent thiele	76	Wissahickon	1	1	1.000	0.50	matches existing player name	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="Trent Thiele" did not match Wissahickon | Upper Merion
