ln_name,anomaly_count,proposed_match_1,confidence_1,proposed_match_2,confidence_2,proposed_match_3,confidence_3,reviewer_decision
Eastern York,1,Central York,0.550,Easton,0.417,Interboro,0.417,REJECT|curated:york_county
Elizabethtown,1,Quakertown,0.462,Abington,0.385,Boyertown,0.385,REJECT|curated:lancaster_county
Ephrata,1,Choate,0.429,Delco Christian,0.333,Episcopal,0.333,REJECT|curated:lancaster_county
Erie-McDowell,1,Episcopal,0.385,Perkiomen School,0.375,Central Bucks West,0.333,REJECT|curated:erie_county
Frankford,1,Spring-Ford,0.545,Oxford,0.444,Radnor,0.444,REJECT|curated:phila_public_no_lacrosse_in_db
Franklin Regional,1,Abington,0.353,IMG National,0.353,Jackson Reed,0.353,REJECT|curated:pittsburgh_metro_westmoreland
Freeport Area,1,Wilkes Barre Area,0.462,Wyoming Area,0.435,Georgetown Prep,0.400,REJECT|curated:western_pa_armstrong_county
Gateway,1,Great Valley,0.417,Garnet Valley,0.385,Germantown Academy,0.333,REJECT|curated:pittsburgh_metro
Hampton,1,Northampton,0.786,Harriton,0.625,Hampton Township,0.588,REJECT|curated:pittsburgh_metro_allegheny_county
Hempfield Greensburg,1,Hempfield,0.600,Mifflinburg,0.400,Phillipsburg,0.400,REJECT|curated:westmoreland_county_not_lancaster
Hershey,1,Horseheads (NY),0.400,Perk Valley,0.364,Hempfield,0.333,REJECT|curated:dauphin_county
Indiana Area,1,Wyoming Area,0.550,Wilkes Barre Area,0.462,Cardinal O'Hara,0.429,REJECT|curated:western_pa_indiana_county
Kennard-Dale,1,Notre Dame,0.500,Pennridge,0.500,Delaware Valley,0.467,REJECT|curated:york_county
Kingston,1,Abington,0.625,Easton,0.500,Wilson,0.500,REJECT|curated:wyoming_valley_luzerne_county
Knoch,1,Tunkhannock,0.364,Landon School,0.308,Kennett,0.286,REJECT|curated:western_pa_butler_county
Latrobe,1,Pottsgrove,0.400,La Salle,0.375,Selinsgrove,0.364,REJECT|curated:pittsburgh_metro_westmoreland
Lawrenceville School Prep,1,Lawrenceville School,0.950,Lawrenceville B,0.610,Brunswick School,0.450,"ACCEPT:Lawrenceville School (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
Lower Dauphin,1,Lower Merion,0.588,Lower Cape May,0.550,Upper Dublin,0.538,REJECT|curated:dauphin_county_hummelstown
Masterman,1,Lake-Lehman,0.455,Easton,0.444,Manheim Twp,0.364,REJECT|curated:phila_magnet_no_lacrosse_program
Mechanicsburg,1,Lewisburg,0.538,Mifflinburg,0.462,Pennsbury,0.462,REJECT|curated:cumberland_county
Mifflin County,1,Mifflinburg,0.571,Minisink Valley,0.400,Moravian Academy,0.375,REJECT|curated:central_pa_lewistown
Morgantown,1,Boyertown,0.500,Marple Newtown,0.500,Methacton,0.500,REJECT|curated:ambiguous_berks_or_wv
North Catholic,1,Berks Catholic,0.764,Roman Catholic,0.764,Lansdale Catholic,0.638,REJECT|curated:pittsburgh_north_catholic
Northampton Area,1,Northampton,0.838,Scranton Prep,0.500,North Penn,0.438,ACCEPT:Northampton|auto:pa_suffix_convention:northampton area->northampton
Northeast,1,Northampton,0.545,North Penn,0.500,North Pocono,0.417,REJECT|curated:phila_public_no_lacrosse_in_db
Northern York,1,Central York,0.512,Northwestern Lehigh,0.474,Southern Lehigh,0.467,REJECT|curated:york_county
Norwin,1,North Penn,0.400,Harriton,0.375,Northampton,0.364,REJECT|curated:pittsburgh_metro_westmoreland
Olney Charter,1,Penn Charter,0.742,Olney,0.535,Wilkes-Barre,0.385,REJECT|curated:phila_charter_no_lacrosse_in_db
Plum,1,Shipley,0.286,Parkland,0.250,Phillipsburg,0.250,REJECT|curated:pittsburgh_metro
Red Land,1,Parkland,0.500,Upper Moreland,0.429,Penn Manor,0.400,REJECT|curated:york_county
Red Lion,1,Lower Merion,0.417,Upper Merion,0.417,Easton,0.375,REJECT|curated:york_county
Solanco,1,Cocalico,0.500,Olney,0.429,Gilman School,0.385,REJECT|curated:lancaster_county
South-Western,1,South Philly,0.512,Northwestern Lehigh,0.474,Plymouth Whitemarsh,0.474,REJECT|curated:york_county_hanover_area
St Anthonys,1,St. Anthony's (NY),0.838,St. Albans,0.595,St. John's,0.595,REJECT|curated:new_york
St Joseph  Hammonton,1,St Joseph Metuchen (NJ),0.622,St. Joseph's Prep,0.524,St. Joe's Prep,0.418,REJECT|curated:south_jersey
State College,1,Coatesville,0.462,Great Valley,0.385,La Salle,0.385,REJECT|curated:centre_county
Taylor Allderdice,1,Bonner-Prendie,0.353,Saucon Valley,0.353,AIM Academy,0.294,REJECT|curated:pittsburgh_public
Thomas Jefferson,1,WC Henderson,0.438,Lower Merion,0.375,Conrad Weiser,0.313,REJECT|curated:pittsburgh_metro
Tome School,1,Hill School,0.686,Perkiomen School,0.675,Gilman School,0.665,REJECT|curated:maryland
West Allegheny,1,West Chester East,0.462,Great Valley,0.429,Perk Valley,0.429,REJECT|curated:pittsburgh_metro
West York,1,Central York,0.633,Westtown,0.556,West Chester East,0.403,REJECT|curated:york_county
Wilson West Lawn,1,Wilson,0.525,West Chester East,0.403,Conestoga,0.375,REJECT|curated:berks_co_wilson_not_wilson_easton
York Catholic,1,Berks Catholic,0.836,Roman Catholic,0.764,Lansdale Catholic,0.579,REJECT|curated:york_county
